Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,570.0,450.0,0.0,150.0,1170.0
Ghost in the Shell,PS,1997.0,Simulation,Sony Computer Entertainment,60.0,40.0,0.0,10.0,110.0
Cabela's Dangerous Hunts 2,XB,2005.0,Sports,Activision,80.0,20.0,0.0,0.0,100.0
Don Bradman Cricket 14,X360,2014.0,Sports,Tru Blu Entertainment,0.0,10.0,0.0,0.0,10.0
Injustice: Gods Among Us,PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,480.0,530.0,10.0,230.0,1250.0
Dr. Muto,GC,2002.0,Platform,Midway Games,20.0,10.0,0.0,0.0,30.0
Starwinder: The Ultimate Space Race,PS,1996.0,Racing,Mindscape,30.0,20.0,0.0,0.0,50.0
World of Tanks,PC,2011.0,Shooter,Wargaming.net,0.0,230.0,0.0,60.0,290.0
Famicom Mini: Makaimura,GBA,2004.0,Platform,Capcom,0.0,0.0,80.0,0.0,80.0
McGrath Vs. Pastrana Freestyle Motocross,PS,2000.0,Racing,Acclaim Entertainment,140.0,100.0,0.0,20.0,260.0
Kids Learn Music A+ Edition,DS,2011.0,Misc,Unknown,50.0,0.0,0.0,0.0,50.0
Rock Band,X360,2007.0,Misc,Electronic Arts,1930.0,340.0,0.0,210.0,2480.0
Project Sylpheed: Arc of Deception,X360,2006.0,Shooter,Microsoft Game Studios,120.0,10.0,20.0,10.0,160.0
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015.0,Misc,Nintendo,0.0,0.0,10.0,0.0,10.0
Mega Man Anniversary Collection,PS2,2004.0,Platform,Capcom,290.0,220.0,0.0,80.0,590.0
G-Force,Wii,2009.0,Action,Disney Interactive Studios,190.0,200.0,0.0,50.0,440.0
Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,300.0,30.0,40.0,30.0,400.0
Beamrider,2600,1984.0,Racing,Activision,260.0,10.0,0.0,0.0,270.0
Ninja Reflex,Wii,2008.0,Action,Electronic Arts,110.0,10.0,0.0,10.0,130.0
FIFA World Cup Germany 2006,XB,2006.0,Sports,Electronic Arts,180.0,50.0,0.0,10.0,240.0
Vagrant Story,PS,2000.0,Role-Playing,Crave Entertainment,300.0,200.0,300.0,60.0,860.0
Knights of Honor,PC,2004.0,Strategy,Sunflowers,0.0,20.0,0.0,10.0,30.0
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,330.0,50.0,250.0,40.0,670.0
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008.0,Action,Konami Digital Entertainment,0.0,0.0,50.0,0.0,50.0
Crysis 3,X360,2013.0,Shooter,Electronic Arts,510.0,330.0,10.0,80.0,930.0
Resident Evil: Revelations 2,PS3,2015.0,Action,Capcom,60.0,80.0,160.0,30.0,330.0
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,120.0,0.0,120.0
Sega Soccer Slam,PS2,2002.0,Sports,Sega,60.0,50.0,0.0,20.0,130.0
Hellboy: The Science of Evil,PS3,2008.0,Action,Konami Digital Entertainment,130.0,20.0,0.0,20.0,170.0
Dreamworks Madagascar Kartz,X360,2009.0,Racing,Activision,140.0,90.0,0.0,20.0,250.0
Ape Escape: On the Loose,PSP,2005.0,Misc,Sony Computer Entertainment,520.0,10.0,120.0,50.0,700.0
Chaotic: Shadow Warriors,Wii,2009.0,Action,Activision,180.0,0.0,0.0,10.0,190.0
Mega Man Xtreme 2,GB,2001.0,Platform,Capcom,0.0,0.0,70.0,0.0,70.0
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,340.0,260.0,0.0,100.0,700.0
Rockin' Pretty,DS,2009.0,Misc,Arc System Works,50.0,0.0,0.0,0.0,50.0
SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,250.0,70.0,0.0,30.0,350.0
Sébastien Loeb Rally Evo,PS4,2016.0,Racing,Milestone S.r.l,0.0,40.0,0.0,10.0,50.0
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010.0,Misc,Kamui,0.0,0.0,30.0,0.0,30.0
Tony Hawk: Shred,Wii,2010.0,Sports,Activision,410.0,110.0,0.0,40.0,560.0
Bomberman,NES,1985.0,Puzzle,Hudson Soft,180.0,0.0,850.0,0.0,1030.0
The Hustle: Detroit Streets,PS2,2006.0,Sports,Activision,20.0,20.0,0.0,10.0,50.0
Unreal Tournament III,X360,2008.0,Shooter,Midway Games,250.0,170.0,10.0,50.0,480.0
NieR,X360,2010.0,Role-Playing,Square Enix,130.0,100.0,40.0,20.0,290.0
Rango: The Video Game,Wii,2011.0,Action,Electronic Arts,80.0,40.0,0.0,10.0,130.0
SD Gundam Force,GBA,2004.0,Shooter,Namco Bandai Games,10.0,0.0,0.0,0.0,10.0
Virtua Fighter 3tb,DC,1998.0,Fighting,Sega,0.0,0.0,370.0,0.0,370.0
Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,520.0,60.0,410.0,50.0,1040.0
Exhibition Volume 5,XB,2004.0,Misc,Microsoft Game Studios,40.0,10.0,0.0,0.0,50.0
Sherlock Holmes: Crimes & Punishments,PS4,2014.0,Adventure,Focus Home Interactive,80.0,140.0,0.0,50.0,270.0
NBA 2K11,PC,2010.0,Action,Take-Two Interactive,180.0,0.0,0.0,10.0,190.0
Command & Conquer,N64,1999.0,Strategy,Nintendo,220.0,50.0,0.0,0.0,270.0
Code Lyoko,DS,2007.0,Action,Game Factory,30.0,10.0,0.0,0.0,40.0
Payday 2,XOne,2015.0,Shooter,505 Games,80.0,70.0,0.0,10.0,160.0
Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,220.0,60.0,0.0,10.0,290.0
Age of Empires III: Complete Collection,PC,2009.0,Strategy,Microsoft Game Studios,10.0,120.0,0.0,30.0,160.0
Deadliest Catch: Sea of Chaos,PS3,2010.0,Sports,Crave Entertainment,80.0,0.0,0.0,10.0,90.0
Wrecking Crew,NES,1985.0,Platform,Nintendo,0.0,0.0,510.0,0.0,510.0
Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,350.0,240.0,0.0,40.0,630.0
Sudokuro,DS,2007.0,Puzzle,Crave Entertainment,100.0,0.0,0.0,10.0,110.0
Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008.0,Racing,Takara Tomy,0.0,0.0,10.0,0.0,10.0
Dynasty Warriors Advance,GBA,2005.0,Action,Nintendo,80.0,30.0,0.0,0.0,110.0
Treasures of the Deep,PS,1997.0,Action,Namco Bandai Games,100.0,70.0,0.0,10.0,180.0
Mobile Suit Gundam: Perfect One Year War,PS,1997.0,Strategy,Namco Bandai Games,0.0,0.0,140.0,10.0,150.0
Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,190.0,50.0,0.0,10.0,250.0
Tom and Jerry in Fists of Furry,N64,2000.0,Fighting,Ubisoft,130.0,30.0,0.0,0.0,160.0
Resident Evil: Dead Aim,PS2,2003.0,Action,Capcom,170.0,130.0,0.0,40.0,340.0
Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,890.0,0.0,890.0
Spy vs Spy,XB,2005.0,Action,Global Star,80.0,20.0,0.0,0.0,100.0
Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,130.0,210.0,0.0,80.0,420.0
Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,220.0,150.0,0.0,30.0,400.0
Tom Clancy's Ghost Recon: Predator,PSP,2010.0,Shooter,Ubisoft,70.0,20.0,0.0,20.0,110.0
Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,170.0,0.0,0.0,10.0,180.0
Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,670.0,300.0,0.0,100.0,1070.0
Pac-Man and the Ghostly Adventures 2,PS3,2014.0,Adventure,Namco Bandai Games,50.0,40.0,0.0,20.0,110.0
Need for Speed Underground,PC,2003.0,Racing,Electronic Arts,0.0,40.0,0.0,10.0,50.0
Robotron 64,N64,1998.0,Shooter,GT Interactive,70.0,20.0,0.0,0.0,90.0
Gummy Bears Magical Medallion,Wii,2011.0,Platform,Storm City Games,20.0,0.0,0.0,0.0,20.0
Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,590.0,160.0,0.0,10.0,760.0
Red Steel 2,Wii,2010.0,Shooter,Ubisoft,360.0,210.0,10.0,60.0,640.0
Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1170.0,0.0,1170.0
Samurai Warriors Chronicles 3,3DS,2014.0,Action,Tecmo Koei,0.0,0.0,80.0,0.0,80.0
Where's Waldo? The Fantastic Journey,Wii,2009.0,Adventure,Ubisoft,180.0,0.0,0.0,10.0,190.0
Nobunaga no Yabou: Ranseiki,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,130.0,0.0,130.0
The Guy Game,XB,2004.0,Misc,Gathering of Developers,50.0,20.0,0.0,0.0,70.0
Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,210.0,0.0,20.0,20.0,250.0
NCAA Football 08,XB,2007.0,Sports,Electronic Arts,60.0,20.0,0.0,0.0,80.0
NHL 06,XB,2005.0,Sports,Electronic Arts,190.0,50.0,0.0,10.0,250.0
Madden NFL 2001,PS2,2000.0,Sports,Electronic Arts,1190.0,70.0,50.0,200.0,1510.0
Yakuza Kiwami,PS3,2016.0,Adventure,Sega,0.0,0.0,120.0,0.0,120.0
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009.0,Racing,Unknown,0.0,0.0,20.0,0.0,20.0
Ore wa Shoujo Mangaka,PSP,2012.0,Action,Giza10,0.0,0.0,20.0,0.0,20.0
Rocky Balboa,PSP,2007.0,Sports,Ubisoft,10.0,90.0,0.0,10.0,110.0
Victory Spike,PS,1996.0,Sports,Imagineer,0.0,0.0,10.0,0.0,10.0
Bubble Bobble Revolution,DS,2005.0,Puzzle,Atari,40.0,0.0,0.0,0.0,40.0
State of Emergency 2,PS2,2006.0,Shooter,SouthPeak Games,40.0,30.0,0.0,10.0,80.0
Lords of the Fallen,PC,2014.0,Role-Playing,Square Enix,0.0,30.0,0.0,0.0,30.0
Mazes of Fate DS,DS,2008.0,Role-Playing,Graffiti,40.0,0.0,0.0,0.0,40.0
Jikkyou Powerful Pro Baseball 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,170.0,0.0,170.0
King Arthur,GC,2004.0,Action,Konami Digital Entertainment,30.0,10.0,0.0,0.0,40.0
Magna Carta Portable,PSP,2006.0,Role-Playing,Banpresto,0.0,0.0,30.0,0.0,30.0
Lise no Atelier: Ordre no Renkinjutsushi,DS,2007.0,Role-Playing,Gust,0.0,0.0,40.0,0.0,40.0
Armored Core: Master of Arena,PS,1999.0,Simulation,From Software,70.0,50.0,130.0,20.0,270.0
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5910.0,2380.0,130.0,900.0,9320.0
Shrek Super Party,GC,2003.0,Misc,TDK Mediactive,40.0,10.0,0.0,0.0,50.0
Steins;Gate: Hiyoku Renri no Darling,PS3,2012.0,Adventure,5pb,0.0,0.0,20.0,0.0,20.0
Crime Scene,DS,2009.0,Adventure,Nobilis,0.0,20.0,0.0,0.0,20.0
Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1980.0,550.0,0.0,320.0,2850.0
Circuit Breakers,PS,1998.0,Racing,Mindscape,40.0,30.0,0.0,0.0,70.0
Rozen Maiden: Gebetgarten,PS2,2007.0,Fighting,Taito,0.0,0.0,10.0,0.0,10.0
Sea Park Tycoon,DS,2010.0,Simulation,Foreign Media Games,20.0,10.0,0.0,0.0,30.0
Hot Wheels: Battle Force 5,DS,2009.0,Racing,Activision,130.0,20.0,0.0,10.0,160.0
Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1120.0,0.0,30.0,1150.0
Rabbids Invasion: The Interactive TV Show,PS4,2014.0,Misc,Ubisoft,0.0,10.0,0.0,0.0,10.0
Cabela's Big Game Hunter: Pro Hunts,WiiU,2014.0,Shooter,Activision,20.0,0.0,0.0,0.0,20.0
Forza Horizon 2,X360,2014.0,Racing,Microsoft Game Studios,350.0,430.0,0.0,70.0,850.0
Hitman: HD Trilogy,PS3,2013.0,Action,Square Enix,70.0,100.0,0.0,40.0,210.0
Super Robot Taisen XO,X360,2006.0,Strategy,Banpresto,0.0,0.0,10.0,0.0,10.0
Call of Juarez: The Cartel,PS3,2011.0,Shooter,Ubisoft,120.0,130.0,0.0,50.0,300.0
Warriors Orochi 3,PS4,2014.0,Action,Tecmo Koei,40.0,50.0,40.0,20.0,150.0
The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,180.0,140.0,0.0,50.0,370.0
Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,60.0,0.0,20.0,80.0
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,Nippon Columbia,0.0,0.0,170.0,0.0,170.0
FIFA Manager 12,PC,2011.0,Sports,Electronic Arts,0.0,30.0,0.0,10.0,40.0
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,Vivendi Games,90.0,70.0,0.0,20.0,180.0
UEFA Euro 2008 Austria-Switzerland,PSP,2008.0,Sports,Electronic Arts,60.0,130.0,0.0,60.0,250.0
TOCA Race Driver 3,PC,2006.0,Racing,Codemasters,0.0,20.0,0.0,0.0,20.0
Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,500.0,630.0,0.0,100.0,1230.0
"Army Men World War: Land, Sea, Air",PS,2000.0,Action,3DO,170.0,120.0,0.0,20.0,310.0
Dai-2-Ji Super Robot Taisen α,PS2,2003.0,Strategy,Banpresto,0.0,0.0,600.0,0.0,600.0
Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,940.0,350.0,0.0,20.0,1310.0
Nicola Kanshuu: Model * Oshare Audition,DS,2010.0,Misc,Alchemist,0.0,0.0,60.0,0.0,60.0
SX Superstar,GC,2003.0,Racing,Acclaim Entertainment,30.0,10.0,0.0,0.0,40.0
Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo,160.0,20.0,530.0,10.0,720.0
Densetsu no Stafi 4,DS,2006.0,Platform,Nintendo,0.0,0.0,170.0,0.0,170.0
"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009.0,Action,D3Publisher,0.0,0.0,20.0,0.0,20.0
The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,630.0,50.0,0.0,60.0,740.0
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987.0,Role-Playing,Namco Bandai Games,0.0,0.0,1250.0,0.0,1250.0
Tom Clancy's Rainbow Six: Vegas 2,PC,2008.0,Shooter,Ubisoft,0.0,20.0,0.0,0.0,20.0
Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,430.0,0.0,0.0,30.0,460.0
International Superstar Soccer 2000 (JP weekly sales),N64,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,180.0,0.0,180.0
PictoImage,DS,2007.0,Puzzle,Sega,100.0,0.0,0.0,10.0,110.0
Tamagotchi no Narikiri Channel,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,150.0,0.0,150.0
Doom 3 BFG Edition,PC,2012.0,Shooter,Bethesda Softworks,0.0,20.0,0.0,10.0,30.0
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,200.0,140.0,4100.0,20.0,4460.0
El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,70.0,50.0,30.0,10.0,160.0
Burnout 3: Takedown,PS2,2004.0,Racing,Electronic Arts,1230.0,1110.0,0.0,340.0,2680.0
Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,0.0,0.0,220.0,0.0,220.0
MediEvil: Resurrection,PSP,2005.0,Adventure,Sony Computer Entertainment,190.0,410.0,0.0,220.0,820.0
Twinkle * Crusaders GoGo!,PSP,2010.0,Adventure,ASCII Media Works,0.0,0.0,20.0,0.0,20.0
One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,460.0,30.0,490.0
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,130.0,0.0,130.0
The Warriors,PS2,2005.0,Action,Take-Two Interactive,440.0,20.0,0.0,70.0,530.0
The Sims 2,PC,2004.0,Simulation,Electronic Arts,20.0,240.0,0.0,50.0,310.0
NCAA Football 07,XB,2006.0,Sports,Electronic Arts,420.0,120.0,0.0,10.0,550.0
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004.0,Strategy,Nintendo,0.0,0.0,80.0,0.0,80.0
Marvel Super Heroes,PS,1997.0,Fighting,Virgin Interactive,190.0,130.0,0.0,20.0,340.0
Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,20.0,10.0,0.0,0.0,30.0
Curse of the Amsterdam Diamond,DS,2012.0,Puzzle,Easy Interactive,0.0,10.0,0.0,0.0,10.0
SD Gundam G Generation World,PSP,2011.0,Strategy,Namco Bandai Games,0.0,0.0,340.0,0.0,340.0
Conflict: Desert Storm,GC,2003.0,Shooter,SCi,60.0,20.0,0.0,0.0,80.0
Mystic Ark,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,130.0,0.0,130.0
F.E.A.R. 2: Project Origin,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,190.0,210.0,10.0,80.0,490.0
Madden NFL 07,XB,2006.0,Sports,Electronic Arts,970.0,30.0,0.0,30.0,1030.0
Rugby 06,XB,2006.0,Sports,Electronic Arts,10.0,0.0,0.0,0.0,10.0
FIFA Soccer,PSP,2005.0,Sports,Electronic Arts,110.0,0.0,0.0,10.0,120.0
Ore no Yome: Anata Dake no Hanayome,X360,2010.0,Adventure,Idea Factory,0.0,0.0,20.0,0.0,20.0
Goblin Commander: Unleash the Horde,GC,2003.0,Strategy,Jaleco,10.0,0.0,0.0,0.0,10.0
Phoenix Wright: Revived Turnabout,DS,2008.0,Misc,Capcom,0.0,0.0,40.0,0.0,40.0
Fatal Frame III: The Tormented,PS2,2005.0,Action,Take-Two Interactive,40.0,30.0,0.0,10.0,80.0
Garfield's Nightmare,DS,2007.0,Platform,Game Factory,10.0,0.0,0.0,0.0,10.0
Turbo Turtle Adventure,GBA,2002.0,Puzzle,Majesco Entertainment,40.0,10.0,0.0,0.0,50.0
Carnage Heart EXA,PSP,2010.0,Strategy,ArtDink,0.0,0.0,20.0,0.0,20.0
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2670.0,890.0,50.0,370.0,3980.0
WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,360.0,350.0,0.0,140.0,850.0
Dora the Explorer: Super Star Adventures,GBA,2004.0,Adventure,Game Factory,170.0,60.0,0.0,0.0,230.0
Shin Chan: ¡Aventuras de Cine!,DS,2008.0,Platform,505 Games,0.0,0.0,150.0,0.0,150.0
The Legend of Heroes: Trails of Cold Steel II,PS3,2014.0,Role-Playing,Nippon Ichi Software,10.0,0.0,110.0,0.0,120.0
NBA 2K17,X360,2016.0,Sports,Take-Two Interactive,40.0,0.0,0.0,10.0,50.0
Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011.0,Strategy,System Soft,0.0,0.0,10.0,0.0,10.0
Doki-Doki Universe,PSV,2013.0,Adventure,Sony Computer Entertainment,10.0,40.0,0.0,10.0,60.0
Dr. Seuss' The Cat in the Hat,XB,2003.0,Misc,Vivendi Games,80.0,20.0,0.0,0.0,100.0
Alpha Protocol,PC,2010.0,Role-Playing,Sega,0.0,30.0,0.0,10.0,40.0
Bust-A-Move '99,PS,1997.0,Puzzle,Acclaim Entertainment,180.0,120.0,0.0,20.0,320.0
Puzzle Quest: Challenge of the Warlords,DS,2007.0,Puzzle,D3Publisher,280.0,10.0,30.0,20.0,340.0
Cabela's Deer Hunt 2005 Season,PS2,2004.0,Sports,Activision,180.0,140.0,0.0,50.0,370.0
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010.0,Misc,Alchemist,0.0,0.0,20.0,0.0,20.0
Mortal Kombat: Tournament Edition,GBA,2003.0,Fighting,Midway Games,10.0,0.0,0.0,0.0,10.0
FIFA Street 2,GC,2006.0,Sports,Electronic Arts,90.0,20.0,0.0,0.0,110.0
Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,90.0,0.0,20.0,10.0,120.0
Harry Potter and the Sorcerer's Stone,XB,2003.0,Action,Electronic Arts,50.0,20.0,0.0,0.0,70.0
Mountain King,2600,1982.0,Action,CBS Electronics,290.0,20.0,0.0,0.0,310.0
Saki: Zenkoku-hen,PSV,2015.0,Misc,Kaga Create,0.0,0.0,50.0,0.0,50.0
Wild West Shootout,Wii,2010.0,Shooter,Unknown,10.0,10.0,0.0,0.0,20.0
NASCAR Unleashed,PS3,2011.0,Racing,Activision,90.0,0.0,0.0,10.0,100.0
Kouchuu Ouja Mushi King: Super Collection,DS,2007.0,Action,Sega,0.0,0.0,110.0,0.0,110.0
¡Shin Chan Flipa en colores!,DS,2007.0,Platform,505 Games,0.0,0.0,140.0,0.0,140.0
Phantom Crash,XB,2002.0,Simulation,Phantagram,30.0,10.0,10.0,0.0,50.0
MotoGP '06,X360,2006.0,Racing,THQ,110.0,10.0,0.0,10.0,130.0
Company of Heroes,PC,2006.0,Strategy,THQ,0.0,40.0,0.0,10.0,50.0
Road Trip: Shifting Gears,GBA,2002.0,Racing,Zoo Digital Publishing,10.0,0.0,0.0,0.0,10.0
Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Role-Playing,Enix Corporation,0.0,0.0,1200.0,10.0,1210.0
Assassin's Creed Chronicles,PSV,2016.0,Action,Ubisoft,20.0,60.0,10.0,20.0,110.0
MLB 12: The Show,PSV,2012.0,Sports,Sony Computer Entertainment,180.0,0.0,0.0,20.0,200.0
Just Dance 3,Wii,2011.0,Misc,Ubisoft,6050.0,3150.0,0.0,1070.0,10270.0
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,130.0,50.0,0.0,0.0,180.0
Namco Museum Vol.4,PS,1996.0,Misc,Sony Computer Entertainment,20.0,10.0,160.0,10.0,200.0
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005.0,Platform,Ubisoft,50.0,10.0,0.0,0.0,60.0
Guinness World Records: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,470.0,10.0,0.0,40.0,520.0
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013.0,Strategy,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
Guitar Hero: Van Halen,PS2,2009.0,Misc,Activision,50.0,40.0,0.0,10.0,100.0
IL-2 Sturmovik: Birds of Prey,DS,2009.0,Simulation,505 Games,60.0,0.0,0.0,0.0,60.0
Nobunaga's Ambition: Iron Triangle,PS2,2006.0,Strategy,Tecmo Koei,40.0,30.0,0.0,10.0,80.0
Colosseum: Road to Freedom,PS2,2005.0,Role-Playing,Tecmo Koei,30.0,30.0,0.0,10.0,70.0
Rec Room Games,Wii,2009.0,Sports,Destineer,350.0,0.0,0.0,20.0,370.0
Winning Post 7: Maximum 2007,PS2,2007.0,Sports,Tecmo Koei,0.0,0.0,20.0,0.0,20.0
The Powerpuff Girls: Relish Rampage,GC,2002.0,Action,BAM! Entertainment,50.0,10.0,0.0,0.0,60.0
Kidou Senshi V Gundam,SNES,1994.0,Action,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,330.0,10.0,0.0,50.0,390.0
Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011.0,Adventure,Quinrose,0.0,0.0,20.0,0.0,20.0
Invasion From Beyond,PS,1998.0,Shooter,GT Interactive,50.0,30.0,0.0,10.0,90.0
NBA Street V3,PS2,2005.0,Sports,Electronic Arts,520.0,410.0,0.0,140.0,1070.0
Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,Nintendo,140.0,50.0,10.0,20.0,220.0
Birthday Party Bash,Wii,2009.0,Misc,Take-Two Interactive,300.0,0.0,0.0,20.0,320.0
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007.0,Simulation,Sega,0.0,0.0,60.0,0.0,60.0
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994.0,Role-Playing,Game Arts,0.0,0.0,140.0,0.0,140.0
Petz: Saddle Club,PSP,2009.0,Simulation,Ubisoft,80.0,0.0,0.0,10.0,90.0
The Inner World,PC,2013.0,Adventure,Headup Games,0.0,30.0,0.0,0.0,30.0
PGR3 - Project Gotham Racing 3,X360,2005.0,Racing,Microsoft Game Studios,490.0,30.0,30.0,50.0,600.0
JU-ON: The Grudge,Wii,2009.0,Action,Rising Star Games,80.0,10.0,10.0,10.0,110.0
Parfait,PSV,2015.0,Adventure,TGL,0.0,0.0,30.0,0.0,30.0
NASCAR Unleashed,3DS,2011.0,Racing,Activision,180.0,0.0,0.0,10.0,190.0
